Month,City,Company,Total Monthly Hours
June,Pune,Indowind Energy,2270.4
March,Pune,Reliance Energy,732.6
July,Pune,Adani Power Ltd.,1211.1
May,Pune,Adani Power Ltd.,1199.0
December,Pune,Adani Power Ltd.,593.12
June,Pune,Reliance Energy,2554.2
February,Pune,Reliance Energy,280.72
February,Pune,Reliance Energy,710.16
January,Pune,Tata Power Company Ltd.,451.44
February,Pune,Tata Power Company Ltd.,466.4
July,Pune,Adani Power Ltd.,1349.7
February,Pune,Adani Power Ltd.,257.84
November,Pune,Adani Power Ltd.,513.92
March,Pune,Orient Green,682.0
January,Pune,Orient Green,621.28
April,Pune,Indowind Energy,1227.6
December,Pune,Reliance Energy,401.28
May,Pune,Orient Green,1179.2
November,Pune,Orient Green,412.72
December,Pune,Tata Power Company Ltd.,533.28
December,Pune,Orient Green,628.32
July,Pune,Orient Green,1574.1
January,Pune,Reliance Energy,510.4
December,Pune,Orient Green,394.24
May,Pune,Indowind Energy,1133.0
December,Pune,Reliance Energy,469.04
November,Pune,Reliance Energy,488.4
October,Pune,Adani Power Ltd.,421.3
July,Pune,Reliance Energy,1933.8
March,Pune,Reliance Energy,477.4
April,Pune,Tata Power Company Ltd.,1316.7
October,Pune,Orient Green,570.9
February,Pune,Adani Power Ltd.,300.96
December,Pune,Adani Power Ltd.,482.24
April,Pune,Reliance Energy,1217.7
June,Pune,Adani Power Ltd.,1659.9
December,Pune,Tata Power Company Ltd.,457.6
June,Pune,Indowind Energy,2217.6
June,Pune,Reliance Energy,2075.7
January,Pune,Orient Green,435.6
June,Pune,Orient Green,1353.0
June,Pune,Reliance Energy,1838.1
March,Pune,Indowind Energy,645.7
March,Pune,Tata Power Company Ltd.,381.7
March,Pune,Adani Power Ltd.,830.5
July,Pune,Reliance Energy,1402.5
September,Pune,Reliance Energy,597.96
April,Pune,Indowind Energy,790.35
August,Pune,Tata Power Company Ltd.,945.45
May,Pune,Orient Green,1584.0
July,Pune,Tata Power Company Ltd.,2029.5
December,Pune,Indowind Energy,408.32
February,Pune,Indowind Energy,596.64
April,Pune,Reliance Energy,759.0
March,Pune,Reliance Energy,587.4
December,Pune,Tata Power Company Ltd.,790.24
February,Pune,Indowind Energy,373.12
June,Pune,Orient Green,2026.2
April,Pune,Tata Power Company Ltd.,783.75
January,Pune,Tata Power Company Ltd.,362.56
January,Pune,Indowind Energy,390.72
April,Pune,Reliance Energy,1090.65
September,Pune,Orient Green,594.0
October,Pune,Tata Power Company Ltd.,404.8
July,Pune,Indowind Energy,1481.7
July,Pune,Orient Green,2026.2
August,Pune,Indowind Energy,825.0
January,Pune,Indowind Energy,629.2
August,Pune,Reliance Energy,963.6
July,Pune,Tata Power Company Ltd.,1392.6
December,Pune,Orient Green,488.4
March,Pune,Orient Green,777.7
June,Pune,Orient Green,1234.2
December,Pune,Tata Power Company Ltd.,455.84
March,Pune,Tata Power Company Ltd.,380.6
February,Pune,Indowind Energy,265.76
June,Pune,Indowind Energy,1511.4
September,Pune,Orient Green,908.16
November,Pune,Tata Power Company Ltd.,485.76
September,Pune,Tata Power Company Ltd.,778.8
April,Pune,Reliance Energy,508.2
August,Pune,Orient Green,523.05
May,Pune,Indowind Energy,805.2
January,Pune,Indowind Energy,564.08
July,Pune,Orient Green,2524.5
December,Pune,Reliance Energy,416.24
July,Pune,Adani Power Ltd.,1164.9
February,Pune,Orient Green,333.52
October,Pune,Tata Power Company Ltd.,895.4
June,Pune,Orient Green,1323.3
February,Pune,Indowind Energy,507.76
May,Pune,Adani Power Ltd.,1606.0
October,Pune,Adani Power Ltd.,606.1
February,Pune,Reliance Energy,440.88
April,Pune,Adani Power Ltd.,716.1
April,Pune,Reliance Energy,722.7
May,Pune,Orient Green,1289.2
October,Pune,Indowind Energy,609.4
February,Pune,Orient Green,616.88
March,Pune,Orient Green,739.2
December,Pune,Orient Green,579.92
July,Pune,Indowind Energy,2253.9
February,Pune,Adani Power Ltd.,290.4
August,Pune,Orient Green,869.55
September,Pune,Adani Power Ltd.,712.8
June,Pune,Adani Power Ltd.,1702.8
February,Pune,Tata Power Company Ltd.,397.76
October,Pune,Orient Green,344.3
October,Pune,Reliance Energy,590.7
February,Pune,Orient Green,282.48
August,Pune,Tata Power Company Ltd.,414.15
April,Pune,Tata Power Company Ltd.,737.55
March,Pune,Reliance Energy,557.7
January,Pune,Orient Green,452.32
January,Pune,Indowind Energy,557.92
May,Pune,Indowind Energy,1326.6
December,Pune,Reliance Energy,439.12
May,Pune,Orient Green,1190.2
August,Pune,Indowind Energy,1379.4
March,Pune,Tata Power Company Ltd.,334.4
March,Pune,Indowind Energy,770.0
July,Pune,Orient Green,2161.5
December,Pune,Reliance Energy,366.96
August,Pune,Tata Power Company Ltd.,792.0
November,Pune,Adani Power Ltd.,491.04
October,Pune,Orient Green,607.2
August,Pune,Orient Green,691.35
April,Pune,Orient Green,478.5
August,Pune,Tata Power Company Ltd.,651.75
August,Pune,Adani Power Ltd.,783.75
May,Pune,Adani Power Ltd.,657.8
June,Pune,Adani Power Ltd.,874.5
March,Pune,Orient Green,522.5
July,Pune,Tata Power Company Ltd.,1168.2
July,Pune,Tata Power Company Ltd.,1085.7
March,Pune,Adani Power Ltd.,783.2
June,Pune,Orient Green,1052.7
March,Pune,Indowind Energy,622.6
July,Pune,Reliance Energy,1372.8
June,Pune,Indowind Energy,1834.8
February,Pune,Adani Power Ltd.,381.92
September,Pune,Indowind Energy,832.92
March,Pune,Indowind Energy,577.5
February,Pune,Indowind Energy,337.92
July,Pune,Reliance Energy,1989.9
June,Pune,Adani Power Ltd.,2032.8
January,Pune,Indowind Energy,411.84
April,Pune,Indowind Energy,960.3
April,Pune,Orient Green,886.05
December,Pune,Adani Power Ltd.,560.56
September,Pune,Reliance Energy,975.48
June,Pune,Reliance Energy,1712.7
November,Pune,Orient Green,623.92
March,Pune,Tata Power Company Ltd.,847.0
February,Pune,Tata Power Company Ltd.,339.68
April,Pune,Orient Green,676.5
November,Pune,Reliance Energy,466.4
November,Pune,Indowind Energy,579.04
August,Pune,Tata Power Company Ltd.,605.55
July,Pune,Indowind Energy,1039.5
June,Ratnagiri,Adani Power Ltd.,692.4
February,Ratnagiri,Orient Green,153.92
May,Ratnagiri,Indowind Energy,288.8
May,Ratnagiri,Indowind Energy,516.8
April,Ratnagiri,Tata Power Company Ltd.,335.4
December,Ratnagiri,Reliance Energy,201.28
July,Ratnagiri,Adani Power Ltd.,481.2
April,Ratnagiri,Indowind Energy,240.6
January,Ratnagiri,Orient Green,141.44
August,Ratnagiri,Reliance Energy,220.2
June,Ratnagiri,Indowind Energy,465.6
May,Ratnagiri,Reliance Energy,573.6
June,Ratnagiri,Tata Power Company Ltd.,490.8
January,Ratnagiri,Adani Power Ltd.,191.36
August,Ratnagiri,Reliance Energy,544.2
September,Ratnagiri,Orient Green,316.32
February,Ratnagiri,Adani Power Ltd.,168.96
February,Ratnagiri,Orient Green,154.88
February,Ratnagiri,Adani Power Ltd.,179.52
July,Ratnagiri,Tata Power Company Ltd.,700.8
December,Ratnagiri,Reliance Energy,152.0
May,Ratnagiri,Reliance Energy,523.2
August,Ratnagiri,Adani Power Ltd.,366.6
December,Ratnagiri,Indowind Energy,186.88
August,Ratnagiri,Adani Power Ltd.,329.4
June,Ratnagiri,Adani Power Ltd.,337.2
October,Ratnagiri,Reliance Energy,294.8
August,Ratnagiri,Adani Power Ltd.,259.2
March,Ratnagiri,Indowind Energy,225.2
January,Ratnagiri,Adani Power Ltd.,180.16
December,Ratnagiri,Orient Green,111.04
July,Ratnagiri,Orient Green,614.4
August,Ratnagiri,Adani Power Ltd.,315.6
September,Ratnagiri,Reliance Energy,132.96
November,Ratnagiri,Indowind Energy,214.08
December,Ratnagiri,Adani Power Ltd.,186.88
August,Ratnagiri,Reliance Energy,300.6
February,Ratnagiri,Reliance Energy,144.0
June,Ratnagiri,Tata Power Company Ltd.,566.4
September,Ratnagiri,Indowind Energy,263.04
May,Ratnagiri,Indowind Energy,508.8
May,Ratnagiri,Adani Power Ltd.,454.4
December,Ratnagiri,Reliance Energy,158.72
June,Ratnagiri,Adani Power Ltd.,688.8
May,Ratnagiri,Orient Green,423.2
October,Ratnagiri,Adani Power Ltd.,256.8
July,Ratnagiri,Reliance Energy,627.6
October,Ratnagiri,Orient Green,230.8
June,Ratnagiri,Adani Power Ltd.,686.4
April,Ratnagiri,Tata Power Company Ltd.,242.4
October,Ratnagiri,Orient Green,170.0
November,Ratnagiri,Tata Power Company Ltd.,176.64
November,Ratnagiri,Tata Power Company Ltd.,166.72
February,Ratnagiri,Orient Green,206.4
December,Ratnagiri,Indowind Energy,126.08
February,Ratnagiri,Indowind Energy,151.36
September,Ratnagiri,Tata Power Company Ltd.,293.76
September,Ratnagiri,Indowind Energy,300.48
March,Ratnagiri,Reliance Energy,158.4
December,Ratnagiri,Indowind Energy,128.0
January,Ratnagiri,Adani Power Ltd.,218.88
June,Ratnagiri,Adani Power Ltd.,620.4
March,Ratnagiri,Tata Power Company Ltd.,227.6
August,Ratnagiri,Adani Power Ltd.,360.0
July,Ratnagiri,Orient Green,574.8
October,Ratnagiri,Tata Power Company Ltd.,214.4
July,Ratnagiri,Reliance Energy,547.2
February,Ratnagiri,Adani Power Ltd.,183.36
November,Ratnagiri,Reliance Energy,99.52
February,Ratnagiri,Adani Power Ltd.,182.72
March,Ratnagiri,Tata Power Company Ltd.,200.8
November,Ratnagiri,Reliance Energy,184.0
October,Ratnagiri,Indowind Energy,160.8
January,Ratnagiri,Tata Power Company Ltd.,247.68
February,Ratnagiri,Orient Green,217.92
May,Ratnagiri,Indowind Energy,408.8
April,Ratnagiri,Reliance Energy,334.2
November,Ratnagiri,Indowind Energy,213.12
February,Ratnagiri,Indowind Energy,207.04
April,Ratnagiri,Orient Green,360.0
August,Ratnagiri,Indowind Energy,245.4
June,Ratnagiri,Orient Green,868.8
December,Ratnagiri,Orient Green,120.96
May,Ratnagiri,Tata Power Company Ltd.,402.4
August,Ratnagiri,Adani Power Ltd.,305.4
November,Ratnagiri,Indowind Energy,146.56
May,Ratnagiri,Indowind Energy,432.8
July,Ratnagiri,Indowind Energy,668.4
November,Ratnagiri,Orient Green,96.96
June,Ratnagiri,Adani Power Ltd.,771.6
January,Ratnagiri,Orient Green,188.48
July,Ratnagiri,Adani Power Ltd.,744.0
October,Ratnagiri,Adani Power Ltd.,267.2
September,Ratnagiri,Reliance Energy,253.44
January,Ratnagiri,Adani Power Ltd.,160.0
July,Ratnagiri,Adani Power Ltd.,483.6
April,Ratnagiri,Adani Power Ltd.,334.2
March,Ratnagiri,Reliance Energy,244.8
May,Ratnagiri,Indowind Energy,436.0
July,Ratnagiri,Tata Power Company Ltd.,643.2
April,Ratnagiri,Reliance Energy,355.8
May,Ratnagiri,Reliance Energy,292.8
February,Ratnagiri,Indowind Energy,113.92
August,Ratnagiri,Orient Green,345.6
July,Ratnagiri,Adani Power Ltd.,762.0
April,Ratnagiri,Tata Power Company Ltd.,160.2
July,Ratnagiri,Indowind Energy,735.6
January,Ratnagiri,Indowind Energy,186.24
May,Ratnagiri,Indowind Energy,489.6
April,Ratnagiri,Indowind Energy,295.8
October,Ratnagiri,Adani Power Ltd.,132.4
February,Ratnagiri,Tata Power Company Ltd.,135.36
May,Ratnagiri,Adani Power Ltd.,420.8
October,Ratnagiri,Reliance Energy,216.4
February,Ratnagiri,Adani Power Ltd.,189.44
May,Ratnagiri,Indowind Energy,462.4
May,Ratnagiri,Tata Power Company Ltd.,562.4
November,Ratnagiri,Orient Green,180.8
July,Ratnagiri,Tata Power Company Ltd.,714.0
July,Ratnagiri,Tata Power Company Ltd.,837.6
July,Ratnagiri,Indowind Energy,576.0
September,Ratnagiri,Tata Power Company Ltd.,233.28
September,Ratnagiri,Indowind Energy,258.24
February,Ratnagiri,Indowind Energy,125.12
October,Ratnagiri,Reliance Energy,286.4
August,Ratnagiri,Indowind Energy,322.8
September,Ratnagiri,Tata Power Company Ltd.,279.36
December,Ratnagiri,Reliance Energy,162.24
August,Ratnagiri,Reliance Energy,379.8
April,Ratnagiri,Orient Green,427.8
May,Ratnagiri,Adani Power Ltd.,525.6
February,Ratnagiri,Indowind Energy,191.68
October,Ratnagiri,Indowind Energy,223.2
April,Ratnagiri,Tata Power Company Ltd.,325.8
February,Ratnagiri,Orient Green,111.36
November,Ratnagiri,Indowind Energy,168.64
September,Ratnagiri,Tata Power Company Ltd.,268.8
April,Ratnagiri,Indowind Energy,320.4
September,Ratnagiri,Reliance Energy,291.84
July,Ratnagiri,Tata Power Company Ltd.,640.8
December,Ratnagiri,Tata Power Company Ltd.,178.88
November,Ratnagiri,Tata Power Company Ltd.,207.04
December,Ratnagiri,Orient Green,180.8
August,Ratnagiri,Tata Power Company Ltd.,636.0
November,Ratnagiri,Reliance Energy,409.6
September,Ratnagiri,Indowind Energy,691.2
April,Ratnagiri,Indowind Energy,487.2
January,Ratnagiri,Reliance Energy,267.52
July,Ratnagiri,Orient Green,1216.8
August,Ratnagiri,Reliance Energy,592.8
April,Ratnagiri,Orient Green,872.4
September,Ratnagiri,Orient Green,528.0
July,Ratnagiri,Reliance Energy,1461.6
February,Ratnagiri,Adani Power Ltd.,204.8
October,Ratnagiri,Reliance Energy,356.0
May,Ratnagiri,Adani Power Ltd.,1059.2
August,Ratnagiri,Orient Green,606.0
February,Ratnagiri,Indowind Energy,359.04
August,Ratnagiri,Tata Power Company Ltd.,633.6
July,Ratnagiri,Reliance Energy,1456.8
May,Ratnagiri,Reliance Energy,836.8
June,Ratnagiri,Orient Green,1658.4
January,Ratnagiri,Indowind Energy,472.32
February,Ratnagiri,Indowind Energy,255.36
December,Ratnagiri,Reliance Energy,552.96
July,Ratnagiri,Reliance Energy,811.2
April,Ratnagiri,Adani Power Ltd.,925.2
October,Ratnagiri,Adani Power Ltd.,423.2
June,Ratnagiri,Adani Power Ltd.,1099.2
September,Ratnagiri,Tata Power Company Ltd.,671.04
November,Ratnagiri,Indowind Energy,352.64
May,Ratnagiri,Orient Green,902.4
November,Ratnagiri,Adani Power Ltd.,376.32
January,Ratnagiri,Tata Power Company Ltd.,289.28
March,Ratnagiri,Indowind Energy,316.8
October,Ratnagiri,Orient Green,509.6
October,Ratnagiri,Adani Power Ltd.,480.8
March,Ratnagiri,Adani Power Ltd.,494.4
June,Ratnagiri,Tata Power Company Ltd.,1077.6
March,Ratnagiri,Tata Power Company Ltd.,466.4
October,Ratnagiri,Tata Power Company Ltd.,375.2
September,Ratnagiri,Orient Green,507.84
April,Ratnagiri,Tata Power Company Ltd.,645.6
July,Ratnagiri,Orient Green,1154.4
May,Ratnagiri,Orient Green,1160.0
March,Ratnagiri,Adani Power Ltd.,237.6
April,Ratnagiri,Tata Power Company Ltd.,516.0
April,Ratnagiri,Indowind Energy,800.4
October,Ratnagiri,Reliance Energy,509.6
March,Ratnagiri,Reliance Energy,544.0
January,Ratnagiri,Indowind Energy,368.0
May,Ratnagiri,Reliance Energy,708.8
January,Ratnagiri,Orient Green,254.72
September,Ratnagiri,Adani Power Ltd.,319.68
March,Ratnagiri,Tata Power Company Ltd.,451.2
June,Ratnagiri,Indowind Energy,1236.0
October,Ratnagiri,Reliance Energy,457.6
September,Ratnagiri,Adani Power Ltd.,204.48
September,Ratnagiri,Adani Power Ltd.,353.28
September,Ratnagiri,Orient Green,586.56
December,Ratnagiri,Tata Power Company Ltd.,282.88
April,Ratnagiri,Tata Power Company Ltd.,325.2
January,Ratnagiri,Adani Power Ltd.,182.4
April,Ratnagiri,Tata Power Company Ltd.,537.6
September,Ratnagiri,Reliance Energy,507.84
August,Ratnagiri,Tata Power Company Ltd.,774.0
February,Ratnagiri,Indowind Energy,269.44
May,Ratnagiri,Reliance Energy,1099.2
November,Ratnagiri,Tata Power Company Ltd.,296.32
March,Ratnagiri,Adani Power Ltd.,384.8
February,Ratnagiri,Orient Green,245.12
June,Ratnagiri,Reliance Energy,1512.0
January,Ratnagiri,Reliance Energy,407.68
October,Ratnagiri,Adani Power Ltd.,428.0
September,Ratnagiri,Orient Green,499.2
February,Ratnagiri,Reliance Energy,371.84
November,Ratnagiri,Indowind Energy,394.88
February,Ratnagiri,Indowind Energy,436.48
March,Ratnagiri,Indowind Energy,580.0
November,Ratnagiri,Reliance Energy,222.72
August,Ratnagiri,Adani Power Ltd.,674.4
December,Ratnagiri,Indowind Energy,323.2
May,Ratnagiri,Orient Green,1086.4
September,Ratnagiri,Tata Power Company Ltd.,537.6
August,Ratnagiri,Adani Power Ltd.,460.8
November,Ratnagiri,Indowind Energy,374.4
September,Ratnagiri,Orient Green,417.6
July,Ratnagiri,Tata Power Company Ltd.,1226.4
June,Ratnagiri,Adani Power Ltd.,1418.4
June,Ratnagiri,Adani Power Ltd.,878.4
December,Ratnagiri,Tata Power Company Ltd.,442.24
April,Ratnagiri,Adani Power Ltd.,363.6
May,Ratnagiri,Tata Power Company Ltd.,702.4
December,Ratnagiri,Reliance Energy,293.12
February,Ratnagiri,Indowind Energy,223.36
June,Ratnagiri,Indowind Energy,1528.8
March,Ratnagiri,Orient Green,401.6
November,Ratnagiri,Tata Power Company Ltd.,312.96
June,Ratnagiri,Adani Power Ltd.,1557.6
February,Ratnagiri,Tata Power Company Ltd.,297.6
August,Ratnagiri,Reliance Energy,723.6
May,Ratnagiri,Indowind Energy,982.4
December,Ratnagiri,Indowind Energy,300.16
February,Ratnagiri,Adani Power Ltd.,337.92
March,Ratnagiri,Orient Green,371.2
June,Ratnagiri,Reliance Energy,1159.2
February,Ratnagiri,Reliance Energy,362.88
July,Ratnagiri,Orient Green,1173.6
May,Ratnagiri,Adani Power Ltd.,668.8
July,Ratnagiri,Reliance Energy,1992.0
April,Ratnagiri,Adani Power Ltd.,682.8
February,Ratnagiri,Reliance Energy,236.16
September,Ratnagiri,Adani Power Ltd.,489.6
March,Ratnagiri,Tata Power Company Ltd.,488.8
October,Ratnagiri,Orient Green,443.2
September,Ratnagiri,Orient Green,411.84
July,Ratnagiri,Adani Power Ltd.,1176.0
January,Ratnagiri,Adani Power Ltd.,374.4
December,Ratnagiri,Adani Power Ltd.,291.2
February,Ratnagiri,Adani Power Ltd.,237.44
January,Ratnagiri,Adani Power Ltd.,375.68
October,Ratnagiri,Indowind Energy,627.2
May,Ratnagiri,Indowind Energy,969.6
September,Ratnagiri,Reliance Energy,450.24
June,Ratnagiri,Adani Power Ltd.,482.4
July,Ratnagiri,Orient Green,1039.2
September,Ratnagiri,Reliance Energy,373.44
June,Ratnagiri,Indowind Energy,1574.4
October,Ratnagiri,Indowind Energy,488.8
July,Ratnagiri,Reliance Energy,943.2
November,Ratnagiri,Orient Green,372.48
November,Ratnagiri,Reliance Energy,275.84
April,Ratnagiri,Reliance Energy,698.4
April,Ratnagiri,Reliance Energy,867.6
August,Ratnagiri,Adani Power Ltd.,826.8
July,Ratnagiri,Tata Power Company Ltd.,844.8
April,Ratnagiri,Tata Power Company Ltd.,709.2
January,Ratnagiri,Orient Green,440.32
May,Ratnagiri,Indowind Energy,937.6
May,Ratnagiri,Orient Green,880.0
December,Ratnagiri,Tata Power Company Ltd.,344.32
September,Ratnagiri,Reliance Energy,405.12
December,Ratnagiri,Adani Power Ltd.,337.92
January,Ratnagiri,Indowind Energy,248.96
March,Ratnagiri,Adani Power Ltd.,404.8
June,Ratnagiri,Adani Power Ltd.,1286.4
November,Ratnagiri,Adani Power Ltd.,172.16
February,Ratnagiri,Indowind Energy,444.16
July,Ratnagiri,Reliance Energy,1560.0
May,Ratnagiri,Indowind Energy,612.8
February,Ratnagiri,Tata Power Company Ltd.,257.28
September,Ratnagiri,Tata Power Company Ltd.,697.92
February,Ratnagiri,Reliance Energy,282.88
March,Ratnagiri,Adani Power Ltd.,401.6
May,Ratnagiri,Tata Power Company Ltd.,819.2
September,Ratnagiri,Orient Green,709.44
December,Ratnagiri,Orient Green,371.2
July,Ratnagiri,Adani Power Ltd.,1557.6
November,Ratnagiri,Tata Power Company Ltd.,326.4
January,Ratnagiri,Tata Power Company Ltd.,352.0
August,Ratnagiri,Reliance Energy,886.8
June,Ratnagiri,Orient Green,1449.6
December,Ratnagiri,Reliance Energy,318.08
July,Ratnagiri,Indowind Energy,909.6
January,Ratnagiri,Orient Green,460.8
April,Ratnagiri,Reliance Energy,735.6
September,Ratnagiri,Tata Power Company Ltd.,519.36
April,Ratnagiri,Reliance Energy,759.6
April,Ratnagiri,Adani Power Ltd.,559.2
August,Ratnagiri,Adani Power Ltd.,825.6
December,Ratnagiri,Orient Green,288.0
July,Ratnagiri,Tata Power Company Ltd.,1197.6
July,Ratnagiri,Reliance Energy,1209.6
August,Ratnagiri,Orient Green,540.0
March,Ratnagiri,Adani Power Ltd.,406.4
April,Ratnagiri,Tata Power Company Ltd.,712.8
April,Ratnagiri,Reliance Energy,416.4
July,Ratnagiri,Indowind Energy,1581.6
July,Ratnagiri,Orient Green,1512.0
March,Ratnagiri,Indowind Energy,578.4
May,Ratnagiri,Indowind Energy,1006.4
December,Ratnagiri,Adani Power Ltd.,330.24
June,Ratnagiri,Orient Green,1012.8
November,Ratnagiri,Indowind Energy,325.12
September,Ratnagiri,Reliance Energy,405.12
January,Ratnagiri,Adani Power Ltd.,387.2
August,Ratnagiri,Adani Power Ltd.,650.4
April,Ratnagiri,Tata Power Company Ltd.,782.4
January,Ratnagiri,Orient Green,273.92
October,Ratnagiri,Tata Power Company Ltd.,375.2
May,Ratnagiri,Adani Power Ltd.,603.2
February,Ratnagiri,Reliance Energy,343.04
November,Ratnagiri,Reliance Energy,330.24
December,Ratnagiri,Indowind Energy,421.12
December,Ratnagiri,Adani Power Ltd.,283.52
April,Ratnagiri,Orient Green,661.2
August,Ratnagiri,Orient Green,512.4
October,Ratnagiri,Adani Power Ltd.,416.8
November,Ratnagiri,Indowind Energy,288.0
November,Ratnagiri,Orient Green,229.12
September,Ratnagiri,Orient Green,327.36
March,Ratnagiri,Indowind Energy,344.8
December,Ratnagiri,Adani Power Ltd.,188.16
October,Ratnagiri,Reliance Energy,334.4
February,Ratnagiri,Adani Power Ltd.,202.24
May,Ratnagiri,Orient Green,897.6
October,Ratnagiri,Adani Power Ltd.,307.2
April,Ratnagiri,Reliance Energy,466.8
March,Ratnagiri,Reliance Energy,552.0
April,Ratnagiri,Reliance Energy,549.6
December,Ratnagiri,Indowind Energy,298.24
February,Ratnagiri,Adani Power Ltd.,282.24
March,Ratnagiri,Indowind Energy,404.0
August,Ratnagiri,Reliance Energy,838.8
July,Ratnagiri,Indowind Energy,1003.2
September,Ratnagiri,Tata Power Company Ltd.,311.04
April,Ratnagiri,Tata Power Company Ltd.,772.8
September,Ratnagiri,Indowind Energy,416.64
November,Ratnagiri,Tata Power Company Ltd.,337.92
August,Ratnagiri,Adani Power Ltd.,783.6
April,Ratnagiri,Tata Power Company Ltd.,452.4
June,Ratnagiri,Adani Power Ltd.,1468.8
June,Ratnagiri,Indowind Energy,1106.4
December,Ratnagiri,Indowind Energy,363.52
July,Ratnagiri,Adani Power Ltd.,1442.4
January,Ratnagiri,Tata Power Company Ltd.,483.2
September,Ratnagiri,Adani Power Ltd.,523.2
February,Ratnagiri,Tata Power Company Ltd.,218.88
July,Ratnagiri,Reliance Energy,1012.8
September,Ratnagiri,Adani Power Ltd.,607.68
March,Ratnagiri,Tata Power Company Ltd.,503.2
September,Ratnagiri,Reliance Energy,433.92
February,Ratnagiri,Indowind Energy,411.52
April,Ratnagiri,Adani Power Ltd.,441.6
November,Ratnagiri,Orient Green,377.6
March,Ratnagiri,Reliance Energy,460.8
January,Ratnagiri,Orient Green,462.72
January,Ratnagiri,Orient Green,367.36
July,Ratnagiri,Orient Green,715.2
September,Ratnagiri,Orient Green,498.24
November,Ratnagiri,Reliance Energy,335.36
September,Ratnagiri,Adani Power Ltd.,459.84
March,Ratnagiri,Reliance Energy,315.2
November,Ratnagiri,Reliance Energy,311.04
May,Ratnagiri,Indowind Energy,998.4
July,Ratnagiri,Indowind Energy,919.2
July,Ratnagiri,Adani Power Ltd.,801.6
February,Ratnagiri,Indowind Energy,311.04
December,Ratnagiri,Adani Power Ltd.,326.4
July,Ratnagiri,Adani Power Ltd.,854.4
July,Ratnagiri,Reliance Energy,729.6
September,Ratnagiri,Reliance Energy,420.48
March,Ratnagiri,Reliance Energy,466.4
December,Ratnagiri,Tata Power Company Ltd.,331.52
October,Ratnagiri,Orient Green,523.2
November,Ratnagiri,Adani Power Ltd.,353.92
November,Ratnagiri,Tata Power Company Ltd.,297.6
August,Ratnagiri,Reliance Energy,562.8
August,Ratnagiri,Tata Power Company Ltd.,460.8
November,Ratnagiri,Tata Power Company Ltd.,280.32
June,Ratnagiri,Indowind Energy,1389.6
August,Ratnagiri,Tata Power Company Ltd.,756.0
December,Ratnagiri,Tata Power Company Ltd.,343.68
February,Ratnagiri,Tata Power Company Ltd.,272.64
September,Ratnagiri,Adani Power Ltd.,558.72
April,Ratnagiri,Tata Power Company Ltd.,669.6
December,Ratnagiri,Orient Green,286.08
September,Ratnagiri,Reliance Energy,662.4
March,Ratnagiri,Indowind Energy,368.8
November,Ratnagiri,Adani Power Ltd.,292.48
November,Ratnagiri,Adani Power Ltd.,439.04
August,Ratnagiri,Tata Power Company Ltd.,402.0
April,Ratnagiri,Reliance Energy,982.8
October,Ratnagiri,Tata Power Company Ltd.,478.4
June,Ratnagiri,Tata Power Company Ltd.,1303.2
June,Ratnagiri,Adani Power Ltd.,1092.0
March,Ratnagiri,Reliance Energy,428.8
September,Ratnagiri,Adani Power Ltd.,670.08
June,Ratnagiri,Orient Green,616.8
March,Ratnagiri,Indowind Energy,272.0
August,Ratnagiri,Tata Power Company Ltd.,735.6
January,Ratnagiri,Indowind Energy,204.16
February,Ratnagiri,Adani Power Ltd.,234.24
January,Ratnagiri,Tata Power Company Ltd.,355.84
August,Ratnagiri,Indowind Energy,908.4
April,Ratnagiri,Reliance Energy,464.4
March,Ratnagiri,Orient Green,440.0
September,Ratnagiri,Reliance Energy,504.0
October,Ratnagiri,Indowind Energy,536.8
January,Ratnagiri,Adani Power Ltd.,359.68
March,Ratnagiri,Orient Green,534.4
June,Ratnagiri,Indowind Energy,1149.6
May,Ratnagiri,Tata Power Company Ltd.,676.8
November,Ratnagiri,Reliance Energy,267.52
October,Ratnagiri,Orient Green,653.6
March,Ratnagiri,Indowind Energy,408.8
December,Ratnagiri,Indowind Energy,375.04
November,Ratnagiri,Orient Green,428.16
October,Ratnagiri,Reliance Energy,426.4
October,Ratnagiri,Adani Power Ltd.,587.2
July,Ratnagiri,Adani Power Ltd.,1243.2
September,Ratnagiri,Orient Green,438.72
October,Ratnagiri,Tata Power Company Ltd.,581.6
January,Ratnagiri,Orient Green,517.76
June,Ratnagiri,Orient Green,1608.0
December,Ratnagiri,Adani Power Ltd.,269.44
March,Ratnagiri,Adani Power Ltd.,321.6
January,Ratnagiri,Adani Power Ltd.,428.8
October,Ratnagiri,Indowind Energy,511.2
July,Ratnagiri,Reliance Energy,1648.8
February,Ratnagiri,Orient Green,280.32
August,Ratnagiri,Tata Power Company Ltd.,700.8
March,Ratnagiri,Indowind Energy,416.0
April,Ratnagiri,Adani Power Ltd.,578.4
June,Ratnagiri,Reliance Energy,924.0
July,Ratnagiri,Indowind Energy,943.2
October,Ratnagiri,Indowind Energy,564.8
July,Ratnagiri,Tata Power Company Ltd.,780.0
July,Ratnagiri,Orient Green,1576.8
December,Ratnagiri,Orient Green,213.76
June,Ratnagiri,Adani Power Ltd.,907.2
May,Ratnagiri,Tata Power Company Ltd.,804.8
March,Ratnagiri,Orient Green,559.2
October,Ratnagiri,Orient Green,413.6
September,Ratnagiri,Reliance Energy,629.76
December,Ratnagiri,Tata Power Company Ltd.,327.68
